6   Number of CPUE series
1	24	4	(Series  Np    Area)
1962	0.1398	
1963	0.1363	
1964	0.077	
1965	0.1979	
1966	0.115	
1967	0.104	
1968	0.1548	
1969	0.0541	
1970	0.104	
1971	0.0824	
1972	0.0836	
1973	0.0785	
1974	0.081	
1975	0.1115	
1976	0.1067	
1977	0.0296	
1978	0.0507	
1979	0.1817	
1980	0.0891	
1981	0.1572	
1982	0.1677	
1983	0.0804	
1984	0.1169	
1985	0.117
2	21	4 (Series  Np    Area)
1962	0.1512	
1963	0.0841	
1964	0.0551	
1965	0.1519	
1966	0.1083	
1967	0.128	
1968	0.099	
1969	0.088	
1970	0.1596	
1971	0.0591	
1972	0.0718	
1973	0.0853	
1974	0.1134	
1975	0.0958	
1976	0.0909	
1977	0.0651	
1978	0.0583	
1979	0.1494	
1980	0.0933	
1981	0.1134	
1982	0.119	
3	26	4 (Series  Np    Area)
1962	0.1048	
1963	0.0671	
1964	0.0492	
1965	0.1204	
1966	0.0863	
1967	0.1798	
1968	0.1314	
1969	0.0691	
1970	0.1466	
1971	0.0523	
1972	0.0648	
1973	0.0708	
1974	0.0861	
1975	0.0779	
1976	0.0993	
1977	0.0443	
1978	0.0732	
1979	0.1389	
1980	0.1317	
1981	0.1333	
1982	0.1094	
1983	0.0597	
1984	0.1233	
1985	0.0777	
1986	0.0744	
1987	0.1792	
4	22	4   (Series  Np    Area)
1966	0.131	
1967	0.135	
1968	0.1672	
1969	0.0495	
1970	0.1282	
1971	0.0703	
1972	0.0601	
1973	0.0791	
1974	0.1132	
1975	0.1011	
1976	0.0779	
1977	0.039	
1978	0.0675	
1979	0.1276	
1980	0.122	
1981	0.1271	
1982	0.0974	
1983	0.0837	
1984	0.1283	
1985	0.0857	
1986	0.0856	
1987	0.099	
5	9	5  (Series  Np    Area)
1904	1.195	
1905	1.621	
1906	0.894	
1907	1.122	
1908	0.971	
1909	1.228	
1910	0.733	
1911	0.739	
1913	0.496
6	13	4  (Series  Np    Area)
1902	24.8
1903	21.2
1904	22.9
1905	28.3
1906	18.2
1907	16.0
1908	16.5
1909	25.4
1910	18.4
1911	16.9
1912	9.9
1913	5.8
1914	7.4

Variance-covariance matrix for WI later CPUE series (series 1-4)
0.171 0.089 0.102 0.118
0.089 0.103 0.105 0.076
0.102 0.105 0.156 0.104
0.118 0.076 0.104 0.127

Variance obtained by quadratically detrending the log-transformed data (series 5-6)
0.227626  0.251252








